"","X.zip.","X.ems.","lon","lat"
"214","10456","South Bronx Academy for Applied Media",-73.9054616,40.8186563
"215","10456","Academy of Public Relations",-73.9055944,40.8188361
"216","10454","Academy of Applied Mathematics and Technology",-73.9178499,40.809942
"217","10451","Concourse Village Elementary School",-73.9230993,40.8231344
"218","10454","Young Leaders Elementary School",-73.919896,40.8094246
"219","10455","Hostos-Lincoln Academy of Science",-73.9120401,40.8145714
"220","10451","The Urban Assembly Bronx Academy of Letters",-73.925999,40.81366
"221","10455","I.S. 584",-73.9123068,40.8145265
"222","10454","P.S. X014 Senator John Calandra",-73.8258478,40.8352246
"223","10472","P.S. 036 Unionport",-73.849749,40.829446
"224","10474","P.S. 048 Joseph R. Drake",-73.8867312,40.8141432
"225","10455","P.S. 062 Inocensio Casanova",-73.9003187,40.8138836
"226","10473","P.S. 069 Journey Prep School",-73.8605931,40.8168264
"227","10461","P.S. 071 Rose E. Scala",-73.8296644,40.8455203
"228","10465","P.S. 072 Dr. William Dorney",-73.8180332,40.8229636
"229","10459","P.S. 75 School of Research and Discovery",-73.88896,40.82229
"230","10473","P.S. 093 Albert G. Oliver",-73.8776219,40.8232537
"231","10473","P.S. 100 Isaac Clason",-73.8626223,40.8220209
"232","10465","M.S. X101 Edward R. Byrne",-73.8296157,40.8271107
"233","11215","P.S. 107",-73.9810883,40.6630204
"234","10472","The Dr. Emmett W. Bassett School",-73.8569802,40.8285373
"235","10472","J.H.S. 123 James M. Kieran",-73.8739047,40.8249888
"236","10472","J.H.S. 125 Henry Hudson",-73.8567829,40.8294144
"237","10455","P.S. 130 Abram Stevens Hewitt",-73.902206,40.8176453
"238","10473","J.H.S. 131 Albert Einstein",-73.8599713,40.8238832
"239","10473","P.S. 138 Samuel Randall",-73.8526565,40.8224024
"240","10456","P.S. X140 The Eagle School",-73.9077883,40.8233609
"241","10456","P.S. 146 Edward Collins",-73.9055778,40.8251407
"242","10472","P.S. 152 Evergreen",-73.8804665,40.8237915
"243","11432","P.S. 182",-73.8030945,40.7066306
"244","10459","Bronx Studio School for Writers and Artists",-73.8929382,40.8203983
"245","10456","M.S. 301 Paul L. Dunbar",-73.9068006,40.8224195
"246","10455","M.S. 302 Luisa Dessus Cruz",-73.9016604,40.8156753
"247","10465","P.S. 304 Early Childhood School",-73.8292124,40.8272139
"248","10459","The Longwood Academy of Discovery",-73.8986342,40.8201293
"249","10472","The School for Inquiry and Social Justice",-73.8735173,40.8248835
"250","10473","Archimedes Academy for Math, Science and Technolog",-73.8560261,40.8149051
"251","10465","Urban Institute of Mathematics",-73.8186564,40.8270425
"252","10473","The Bronx Mathematics Preparatory School",-73.8560177,40.8150174
"253","10473","Antonia Pantoja Preparatory Academy: A College Boa",-73.8556869,40.8214002
"254","10474","The Hunts Point School",-73.8855307,40.8155695
"255","10473","Soundview Academy for Culture and Scholarship",-73.8599108,40.8232821
"256","10465","Mott Hall Community School",-73.8180749,40.826777
"257","10472","Blueprint Middle School",-73.8569104,40.8291079
"258","10457","P.S./M.S. 004 Crotona Park West",-73.8982611,40.841139
"259","10452","P.S. 011 Highbridge",-73.92579,40.8397742
"260","10456","J.H.S. 022 Jordan L. Mott",-73.9139387,40.8324496
"261","10457","P.S. 028 Mount Hope",-73.9036644,40.8483274
"262","10451","P.S. 035 Franz Siegel",-73.917933,40.8275587
"263","10457","P.S. 042 Claremont",-73.9030255,40.8385594
"264","10456","P.S. 053 Basheer Quisim",-73.9118447,40.8327799
"265","10456","P.S. 055 Benjamin Franklin",-73.9049013,40.8360711
"266","11231","P.S. 058",-73.9956274,40.6804389
"267","10456","P.S. 063 Author's Academy",-73.9021329,40.8310072
"268","10457","P.S. 070 Max Schoenfeld",-73.9078402,40.844387
"269","10452","P.S. 073 Bronx",-73.9265564,40.832616
"270","10453","P.S. 109 Sedgwick",-73.918482,40.8516382
"271","10456","P.S. 110 Theodore Schoenfeld",-73.9012437,40.8351606
"272","10452","P.S. X114 - Luis Llorens Torres Schools",-73.9231936,40.8348476
"273","10453","I.S. 117 Joseph H. Wade",-73.9086164,40.8484447
"274","10452","P.S. 126 Dr Marjorie H Dunbar",-73.9283851,40.8360666
"275","10456","Mott Hall III",-73.9005553,40.8350506
"276","10456","P.S. 132 Garret A. Morgan",-73.907011,40.8320381
